book,source_file,source_page_exported,output_file,status
1,Lulu_&_Ellie_Book1.pdf,30,Fun_Book_1.png,exported
2,Lulu_&_Ellie_Book2.pdf,30,Fun_Book_2.png,exported
3,Lulu_&_Ellie_Book3.pdf,30,Fun_Book_3.png,exported
4,Lulu_&_Ellie_Book4.pdf,30,Fun_Book_4.png,exported
5,Lulu_&_Ellie_Book5.pdf,30,Fun_Book_5.png,exported
6,Lulu_&_Ellie_Book6.pdf,30,Fun_Book_6.png,exported
7,Lulu_&_Ellie_Book7.pdf,30,Fun_Book_7.png,exported
8,Lulu_&_Ellie_Book8.pdf,30,Fun_Book_8.png,exported
9,Lulu_&_Ellie_Book9.pdf,30,Fun_Book_9.png,exported
10,Lulu_&_Ellie_Book10.pdf,30,Fun_Book_10.png,exported
11,Lulu_&_Ellie_Book11.pdf,30,Fun_Book_11.png,exported
12,Lulu_&_Ellie_Book12.pdf,30,Fun_Book_12.png,exported
13,Lulu_&_Ellie_Book13.pdf,30,Fun_Book_13.png,exported
14,Lulu_&_Ellie_Book14.pdf,30,Fun_Book_14.png,exported
15,Lulu_&_Ellie_Book15.pdf,30,Fun_Book_15.png,exported
16,Lulu_&_Ellie_Book16.pdf,30,Fun_Book_16.png,exported
17,Lulu_&_Ellie_Book17.pdf,30,Fun_Book_17.png,exported
18,Lulu_&_Ellie_Book18.pdf,30,Fun_Book_18.png,exported
19,Lulu_&_Ellie_Book19.pdf,30,Fun_Book_19.png,exported
20,Lulu_&_Ellie_Book20.pdf,30,Fun_Book_20.png,exported
